src,dst,src_ac,dst_ac,compartment,edge_type,edge_label,edge_id
1524,1355,O15357,Q96CV9,plasma_membrane,co_localized,-1,1355|1524|plasma_membrane
1524,1579,O15357,Q96D31,plasma_membrane,co_localized,-1,1524|1579|plasma_membrane
1524,262,O15357,Q96EQ8,plasma_membrane,co_localized,-1,262|1524|plasma_membrane
1524,1089,O15357,Q96EV8,plasma_membrane,co_localized,-1,1089|1524|plasma_membrane
1524,267,O15357,Q96J02,plasma_membrane,co_localized,-1,267|1524|plasma_membrane
1524,834,O15357,Q96JA1,plasma_membrane,co_localized,-1,834|1524|plasma_membrane
1524,1324,O15357,Q96LA5,plasma_membrane,co_localized,-1,1324|1524|plasma_membrane
1524,1888,O15357,Q96PH1,plasma_membrane,co_localized,-1,1524|1888|plasma_membrane
1524,1580,O15357,Q96QD8,plasma_membrane,co_localized,-1,1524|1580|plasma_membrane
1524,1992,O15357,Q96RJ0,plasma_membrane,co_localized,-1,1524|1992|plasma_membrane
1524,281,O15357,Q96S21,plasma_membrane,co_localized,-1,281|1524|plasma_membrane
1524,1985,O15357,Q96S59,plasma_membrane,co_localized,-1,1524|1985|plasma_membrane
1524,1464,O15357,Q99062,plasma_membrane,co_localized,-1,1464|1524|plasma_membrane
1524,1581,O15357,Q99250,plasma_membrane,co_localized,-1,1524|1581|plasma_membrane
1524,652,O15357,Q99497,plasma_membrane,co_localized,-1,652|1524|plasma_membrane
1524,720,O15357,Q99689,plasma_membrane,co_localized,-1,720|1524|plasma_membrane
1524,925,O15357,Q99755,plasma_membrane,co_localized,-1,925|1524|plasma_membrane
1524,1971,O15357,Q99835,plasma_membrane,co_localized,-1,1524|1971|plasma_membrane
1524,289,O15357,Q99942,plasma_membrane,co_localized,-1,289|1524|plasma_membrane
1524,926,O15357,Q9BSA4,plasma_membrane,co_localized,-1,926|1524|plasma_membrane
1524,1366,O15357,Q9BT92,plasma_membrane,co_localized,-1,1366|1524|plasma_membrane
1524,1546,O15357,Q9BTU6,plasma_membrane,co_localized,-1,1524|1546|plasma_membrane
1524,293,O15357,Q9BUZ4,plasma_membrane,co_localized,-1,293|1524|plasma_membrane
1524,1325,O15357,Q9BV40,plasma_membrane,co_localized,-1,1325|1524|plasma_membrane
1524,928,O15357,Q9BXB1,plasma_membrane,co_localized,-1,928|1524|plasma_membrane
1524,1139,O15357,Q9BYF1,plasma_membrane,co_localized,-1,1139|1524|plasma_membrane
1524,1958,O15357,Q9GZV3,plasma_membrane,co_localized,-1,1524|1958|plasma_membrane
1524,1917,O15357,Q9GZV5,plasma_membrane,co_localized,-1,1524|1917|plasma_membrane
1524,316,O15357,Q9H0M0,plasma_membrane,co_localized,-1,316|1524|plasma_membrane
1524,1582,O15357,Q9H1D0,plasma_membrane,co_localized,-1,1524|1582|plasma_membrane
1524,1710,O15357,Q9H2K8,plasma_membrane,co_localized,-1,1524|1710|plasma_membrane
1524,1358,O15357,Q9H5V8,plasma_membrane,co_localized,-1,1358|1524|plasma_membrane
1524,324,O15357,Q9H6Y7,plasma_membrane,co_localized,-1,324|1524|plasma_membrane
1524,327,O15357,Q9HAU4,plasma_membrane,co_localized,-1,327|1524|plasma_membrane
1524,1548,O15357,Q9HBA0,plasma_membrane,co_localized,-1,1524|1548|plasma_membrane
1524,328,O15357,Q9HCE7,plasma_membrane,co_localized,-1,328|1524|plasma_membrane
1524,1331,O15357,Q9HCM4,plasma_membrane,co_localized,-1,1331|1524|plasma_membrane
1524,1225,O15357,Q9NPB6,plasma_membrane,co_localized,-1,1225|1524|plasma_membrane
1524,1205,O15357,Q9NPH3,plasma_membrane,co_localized,-1,1205|1524|plasma_membrane
1524,1959,O15357,Q9NPH5,plasma_membrane,co_localized,-1,1524|1959|plasma_membrane
