uniprot_ac,gene,enzyme_class,node_id,is_e3,is_dub,is_substrate
Q96PM5,RCHY1,E3,276,1,0,0
Q96PU4,UHRF2,E3,277,1,0,0
Q96PU5,NEDD4L,E3,278,1,0,1
Q96Q27,ASB2,E3,279,1,0,0
Q96RU7,TRIB3,E3,280,1,0,1
Q96S21,RAB40C,E3,281,1,0,0
Q96SW2,CRBN,E3,282,1,0,1
Q96T88,UHRF1,E3,283,1,0,1
Q99496,RNF2,E3,284,1,0,1
Q99618,CDCA3,E3,285,1,0,0
Q99619,SPSB2,E3,286,1,0,0
Q99675,CGRRF1,E3,287,1,0,0
Q99728,BARD1,E3,288,1,0,1
Q99942,RNF5,E3,289,1,0,0
Q9BR09,NEURL2,E3,290,1,0,0
Q9BRZ2,TRIM56,E3,291,1,0,0
Q9BSM1,PCGF1,E3,292,1,0,0
Q9BUZ4,TRAF4,E3,293,1,0,1
Q9BV68,RNF126,E3,294,1,0,0
Q9BVG3,TRIM62,E3,295,1,0,1
Q9BWF2,TRAIP,E3,296,1,0,0
Q9BXM7,PINK1,E3,297,1,0,1
Q9BY78,RNF26,E3,298,1,0,0
Q9BYM8,RBCK1,E3,299,1,0,1
Q9BZR9,TRIM8,E3,300,1,0,0
Q9BZY9,TRIM31,E3,301,1,0,1
Q9C019,TRIM15,E3,302,1,0,0
Q9C026,TRIM9,E3,303,1,0,1
Q9C029,TRIM7,E3,304,1,0,0
Q9C030,TRIM6,E3,305,1,0,0
Q9C035,TRIM5,E3,306,1,0,1
Q9C037,TRIM4,E3,307,1,0,0
Q9C040,TRIM2,E3,308,1,0,0
Q9C0C7,AMBRA1,E3,309,1,0,1
Q9C0C9,UBE2O,E3,310,1,0,0
Q9H000,MKRN2,E3,311,1,0,0
Q9H0A0,NAT10,E3,312,1,0,0
Q9H0F5,RNF38,E3,313,1,0,0
Q9H0F6,SHARPIN,E3,314,1,0,0
Q9H0H3,KLHL25,E3,315,1,0,0
Q9H0M0,WWP1,E3,316,1,0,1
Q9H0X6,RNF208,E3,317,1,0,0
Q9H2C0,GAN,E3,318,1,0,0
Q9H2S5,RNF39,E3,319,1,0,0
Q9H3F6,KCTD10,E3,320,1,0,0
Q9H469,FBXL15,E3,321,1,0,0
Q9H4M3,FBXO44,E3,322,1,0,0
Q9H4P4,RNF41,E3,323,1,0,1
Q9H6Y7,RNF167,E3,324,1,0,0
Q9H765,ASB8,E3,325,1,0,0
Q9H992,MARCHF7,E3,326,1,0,1
Q9HAU4,SMURF2,E3,327,1,0,1
Q9HCE7,SMURF1,E3,328,1,0,1
Q9HCI7,MSL2,E3,329,1,0,0
Q9HCM9,TRIM39,E3,330,1,0,0
Q9NPC3,CCNB1IP1,E3,331,1,0,1
Q9NQ86,TRIM36,E3,332,1,0,0
Q9NR09,BIRC6,E3,333,1,0,1
Q9NRD0,FBXO8,E3,334,1,0,0
Q9NRD1,FBXO6,E3,335,1,0,0
Q9NRM6,IL17RB,E3,336,1,0,0
Q9NS56,TOPORS,E3,337,1,0,0
Q9NS91,RAD18,E3,338,1,0,1
Q9NSE2,CISH,E3,339,1,0,0
Q9NTX7,RNF146,E3,340,1,0,0
Q9NV58,RNF19A,E3,341,1,0,1
Q9NVF7,FBXO28,E3,342,1,0,1
Q9NVR0,KLHL11,E3,343,1,0,0
Q9NVW2,RLIM,E3,344,1,0,1
Q9NW38,FANCL,E3,345,1,0,0
Q9NWF9,RNF216,E3,346,1,0,1
Q9NWN3,FBXO34,E3,347,1,0,0
Q9NWZ3,IRAK4,E3,348,1,0,0
Q9NX47,MARCHF5,E3,349,1,0,1
Q9NXF7,DCAF16,E3,350,1,0,0
Q9NXI6,RNF186,E3,351,1,0,0
Q9NXK8,FBXL12,E3,352,1,0,1
Q9NYG5,ANAPC11,E3,353,1,0,0
Q9NZJ0,DTL,E3,354,1,0,1
Q9NZS9,BFAR,E3,355,1,0,0
Q9P0N8,MARCHF2,E3,356,1,0,0
Q9P0P0,RNF181,E3,357,1,0,1
Q9P253,VPS18,E3,358,1,0,0
Q9P2E8,MARCHF4,E3,359,1,0,0
Q9P2G9,KLHL8,E3,360,1,0,0
Q9P2J3,KLHL9,E3,361,1,0,0
Q9P2K6,KLHL42,E3,362,1,0,0
Q9P2N7,KLHL13,E3,363,1,0,0
Q9P2P5,HECW2,E3,364,1,0,1
Q9UBN7,HDAC6,E3,365,1,0,1
Q9UBS8,RNF14,E3,366,1,0,1
Q9UDY8,MALT1,E3,367,1,0,1
Q9UF56,FBXL17,E3,368,1,0,0
Q9UH77,KLHL3,E3,369,1,0,0
Q9UH90,FBXO40,E3,370,1,0,0
Q9UHC7,MKRN1,E3,371,1,0,0
Q9UII4,HERC5,E3,372,1,0,0
Q9UJP4,KLHL21,E3,373,1,0,0
Q9UJT9,FBXL7,E3,374,1,0,1
Q9UJX6,ANAPC2,E3,375,1,0,0
Q9UK22,FBXO2,E3,376,1,0,0
Q9UK96,FBXO10,E3,377,1,0,0
Q9UK97,FBXO9,E3,378,1,0,0
Q9UK99,FBXO3,E3,379,1,0,0
Q9UKA1,FBXL5,E3,380,1,0,0
Q9UKA2,FBXL4,E3,381,1,0,0
Q9UKB1,FBXW11,E3,382,1,0,1
