pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,src,dst,edge_type,edge_label
E3|O43791|Q12834,E3|O43791,E3,O43791,Q12834,SPOP,CDC20,22,99,enzyme_substrate,1
E3|O43791|Q12888,E3|O43791,E3,O43791,Q12888,SPOP,TP53BP1,22,598,enzyme_substrate,1
E3|O43791|Q12906,E3|O43791,E3,O43791,Q12906,SPOP,ILF3,22,599,enzyme_substrate,1
E3|O43791|Q13158,E3|O43791,E3,O43791,Q13158,SPOP,FADD,22,600,enzyme_substrate,1
E3|O43791|Q14444,E3|O43791,E3,O43791,Q14444,SPOP,CAPRIN1,22,601,enzyme_substrate,1
E3|O43791|Q15059,E3|O43791,E3,O43791,Q15059,SPOP,BRD3,22,602,enzyme_substrate,1
E3|O43791|Q16828,E3|O43791,E3,O43791,Q16828,SPOP,DUSP6,22,603,enzyme_substrate,1
E3|O43791|Q16829,E3|O43791,E3,O43791,Q16829,SPOP,DUSP7,22,604,enzyme_substrate,1
E3|O43791|Q27J81,E3|O43791,E3,O43791,Q27J81,SPOP,INF2,22,605,enzyme_substrate,1
E3|O43791|Q49A26,E3|O43791,E3,O43791,Q49A26,SPOP,GLYR1,22,606,enzyme_substrate,1
E3|O43791|Q7Z7J5,E3|O43791,E3,O43791,Q7Z7J5,SPOP,DPPA2,22,607,enzyme_substrate,1
E3|O43791|Q99836,E3|O43791,E3,O43791,Q99836,SPOP,MYD88,22,608,enzyme_substrate,1
E3|O43791|Q9BYW2,E3|O43791,E3,O43791,Q9BYW2,SPOP,SETD2,22,609,enzyme_substrate,1
E3|O43791|Q9H2X6,E3|O43791,E3,O43791,Q9H2X6,SPOP,HIPK2,22,610,enzyme_substrate,1
E3|O43791|Q9H5J0,E3|O43791,E3,O43791,Q9H5J0,SPOP,ZBTB3,22,611,enzyme_substrate,1
E3|O43791|Q9H9S0,E3|O43791,E3,O43791,Q9H9S0,SPOP,NANOG,22,612,enzyme_substrate,1
E3|O43791|Q9HCU9,E3|O43791,E3,O43791,Q9HCU9,SPOP,BRMS1,22,613,enzyme_substrate,1
E3|O43791|Q9NZQ7,E3|O43791,E3,O43791,Q9NZQ7,SPOP,CD274,22,614,enzyme_substrate,1
E3|O43791|Q9UBN7,E3|O43791,E3,O43791,Q9UBN7,SPOP,HDAC6,22,365,enzyme_substrate,1
E3|O43791|Q9UER7,E3|O43791,E3,O43791,Q9UER7,SPOP,DAXX,22,615,enzyme_substrate,1
E3|O43791|Q9Y6Q9,E3|O43791,E3,O43791,Q9Y6Q9,SPOP,NCOA3,22,616,enzyme_substrate,1
E3|O60260|O00429,E3|O60260,E3,O60260,O00429,PARK2,DNM1L,23,617,enzyme_substrate,1
E3|O60260|O15354,E3|O60260,E3,O60260,O15354,PARK2,GPR37,23,618,enzyme_substrate,1
E3|O60260|O43175,E3|O60260,E3,O60260,O43175,PRKN,PHGDH,23,619,enzyme_substrate,1
E3|O60260|O43236,E3|O60260,E3,O60260,O43236,PRKN,SEPTIN4,23,620,enzyme_substrate,1
E3|O60260|O60260,E3|O60260,E3,O60260,O60260,PARK2,PARK2,23,23,enzyme_substrate,1
E3|O60260|O60883,E3|O60260,E3,O60260,O60883,PRKN,GPR37L1,23,621,enzyme_substrate,1
E3|O60260|O95140,E3|O60260,E3,O60260,O95140,PRKN,MFN2,23,622,enzyme_substrate,1
E3|O60260|O95147,E3|O60260,E3,O60260,O95147,PARK2,NEK2,23,623,enzyme_substrate,1
E3|O60260|O96020,E3|O60260,E3,O60260,O96020,PRKN,CCNE2,23,624,enzyme_substrate,1
E3|O60260|P07437,E3|O60260,E3,O60260,P07437,PARK2,TUBB,23,625,enzyme_substrate,1
E3|O60260|P08247,E3|O60260,E3,O60260,P08247,PRKN,SYP,23,553,enzyme_substrate,1
E3|O60260|P09936,E3|O60260,E3,O60260,P09936,PRKN,UCHL1,23,58,enzyme_substrate,1
E3|O60260|P10415,E3|O60260,E3,O60260,P10415,PRKN,BCL2,23,626,enzyme_substrate,1
E3|O60260|P14635,E3|O60260,E3,O60260,P14635,PRKN,CCNB1,23,497,enzyme_substrate,1
E3|O60260|P19174,E3|O60260,E3,O60260,P19174,PRKN,PLCG1,23,627,enzyme_substrate,1
E3|O60260|P19367,E3|O60260,E3,O60260,P19367,PRKN,HK1,23,628,enzyme_substrate,1
E3|O60260|P21796,E3|O60260,E3,O60260,P21796,PRKN,VDAC1,23,629,enzyme_substrate,1
E3|O60260|P21860,E3|O60260,E3,O60260,P21860,PRKN,ERBB3,23,630,enzyme_substrate,1
E3|O60260|P24864,E3|O60260,E3,O60260,P24864,PARK2,CCNE1,23,593,enzyme_substrate,1
E3|O60260|P37840,E3|O60260,E3,O60260,P37840,PARK2,SNCA,23,556,enzyme_substrate,1
E3|O60260|P42566,E3|O60260,E3,O60260,P42566,PARK2,EPS15,23,631,enzyme_substrate,1
E3|O60260|P46527,E3|O60260,E3,O60260,P46527,PARK2,HSD17B10,23,558,enzyme_substrate,1
E3|O60260|P46937,E3|O60260,E3,O60260,P46937,PRKN,YAP1,23,632,enzyme_substrate,1
