family,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,accuracy_mean,precision_mean,recall_mean,brier_mean,rank
Cross-model fusion,esm650__esm3b__protbert_bfd | random_forest,0.7509173511572772,0.0228219810364746,0.8348428875803519,0.0376388820947577,0.7700660445302363,0.6696351115623942,0.6735757364474032,0.901560754636092,0.2036726986784447,39
Pair-level ML,esm2_t33_650M_UR50D | per_sequence | random_forest,0.7508471199564182,0.0258928844181499,0.8347228799740136,0.0347354307909442,0.7725251796560307,0.6728633913926424,0.6753304468637673,0.905236933567514,0.2035392230961084,40
Pair-level ML,esm2_t30_150M_UR50D | fusion | xgboost,0.753067407806691,0.0319714616320421,0.834297191651442,0.0407079279880342,0.7614802079875892,0.6940044000104142,0.7322227098372969,0.7960534682710194,0.2165847407846553,41
Pair-level ML,esm2_t12_35M_UR50D | fusion | xgboost,0.7538056426324815,0.0259050494694073,0.8339938667810717,0.039707076507187,0.7651517052927457,0.6994916556015517,0.736696471132359,0.7981875042015362,0.214207753496967,42
Pair-level ML,prot_bert_bfd | per_sequence | xgboost,0.749043155931133,0.0291139009959798,0.8336321133042371,0.040483198322412,0.758582283341615,0.6891623057095994,0.7247483254023326,0.7970103982403399,0.2183555497893093,43
Pair-level ML,esm2_t6_8M_UR50D | per_sequence | xgboost,0.7475518802974336,0.021591407618629,0.8336021730247953,0.0316115593437555,0.7551450768998491,0.6848051237991097,0.7246097245974082,0.791898616151369,0.2217031840689048,44
Pair-level ML,esm2_t6_8M_UR50D | fusion | xgboost,0.7495217913312314,0.025453238606509,0.833203574897094,0.0364859256917317,0.7566074613306489,0.6893237262100029,0.731728066256202,0.7866946494109384,0.2196027591095899,45
Pair-level ML,esm2_t12_35M_UR50D | per_sequence | xgboost,0.7515938992056104,0.0263254309603872,0.8320586637644638,0.0396072497929436,0.7632005888320059,0.6967459449608164,0.7337699594335123,0.7970665739118766,0.2157858569541725,46
Pair-level ML,esm2_t12_35M_UR50D | fusion | random_forest,0.7439990120928153,0.028117963003683,0.8301930417619132,0.0349817781621115,0.7715658783778714,0.6749618578978885,0.6807302125758018,0.8944062562572868,0.2034443387530514,47
Pair-level ML,esm2_t6_8M_UR50D | per_sequence | random_forest,0.7436190255490553,0.0270253582323594,0.8295941794201396,0.0348901500722687,0.7718621998398308,0.6739941159624047,0.6781464518842556,0.8993713194330748,0.2049915241328048,48
Pair-level ML,prot_bert_bfd | per_sequence | random_forest,0.7434526354711151,0.0333514197886868,0.8292769965618516,0.0483199870283379,0.7618119103102068,0.6581763388789086,0.6670480876163236,0.8912417847727452,0.2051037724899938,49
Cross-model fusion,esm650__protbert_bfd | random_forest,0.7458721304326313,0.0276087123033623,0.8288335583459988,0.0417729929519798,0.7679380465762687,0.6672139342341639,0.6728649826270822,0.8972139465812472,0.2044861870228775,50
Pair-level ML,esm2_t12_35M_UR50D | per_sequence | random_forest,0.742605157605651,0.0331157512470339,0.8281081990926097,0.0392433015731064,0.7736119583369103,0.6777056158712802,0.6817777563672578,0.8975074212130547,0.2041964812847437,51
Pair-level ML,esm2_t33_650M_UR50D | fusion | random_forest,0.7433011080094912,0.0255555318614863,0.8274022905022254,0.0387552085392856,0.7675646268318437,0.6660856830430368,0.6716097087496073,0.8982844862494208,0.2048632495505371,52
Pair-level ML,esm2_t30_150M_UR50D | per_sequence | random_forest,0.7406874741846258,0.0325658881061746,0.8269969895165931,0.0364568547318727,0.7648186989275365,0.6652781900075502,0.6728105343750568,0.8880208826369971,0.2043760580173978,53
Pair-level ML,prot_bert_bfd | fusion | random_forest,0.7389153251920991,0.0314925092430104,0.8258090490582575,0.0442096111075908,0.7666159952615057,0.6659238720091645,0.6726011750919489,0.8942657442652127,0.2058706590140915,54
Cross-model fusion,esm650__esm3b__protbert_bfd | logistic,0.7392273434742961,0.0169220951161792,0.8252876096246802,0.0347629353640429,0.718337724190579,0.675280012497071,0.7647202441022604,0.6777632945538917,0.2184983754911971,55
Pair-level ML,esm2_t6_8M_UR50D | fusion | random_forest,0.7376383957031768,0.0285640840467946,0.8229631426923231,0.0379322335574836,0.7713700396108292,0.6744786378192611,0.6803955732851665,0.8944891028242301,0.205589658171009,56
Cross-model fusion,esm650__esm3b | logistic,0.7363747424853252,0.0201379353119944,0.8228394537838939,0.0368743286185152,0.7159221406733608,0.6714051394204483,0.7605619880424219,0.6769964586935723,0.2185958351315204,57
Pair-level ML,esm2_t30_150M_UR50D | fusion | random_forest,0.7373555595500039,0.0281264596338425,0.8222798035320548,0.0350569482090666,0.7634631328022226,0.6638272279934391,0.6730455198373112,0.8843702555938904,0.2049927586006298,58
Cross-model fusion,esm3b__protbert_bfd | logistic,0.7308255904082954,0.0196274029760092,0.8184283628222934,0.0369347229141471,0.7190971316978181,0.6770545965789269,0.7703688532220043,0.6750699986932036,0.2199613908325892,59
Pair-level ML,prot_bert | fusion | xgboost,0.7280068113196987,0.0295127582180275,0.8183582320809405,0.0384737844649144,0.7495411565756452,0.6759276471660287,0.7125616452822061,0.7917246199709038,0.2275509651482093,60
Pair-level ML,prot_bert | per_sequence | xgboost,0.7260980866750406,0.0325902624985852,0.8178668602254267,0.0397309217059844,0.7426159753504871,0.669471738394647,0.7100206470922796,0.77915526524644,0.2286976934973961,61
Pair-level ML,esm2_t36_3B_UR50D | fusion | logistic,0.7279528223148146,0.0234917082355824,0.8170865314505316,0.0383444701457629,0.715159448298726,0.6715672108099664,0.7640379631628823,0.6732341221997418,0.2198231801934179,62
Cross-model fusion,esm650__protbert_bfd | logistic,0.730492833788032,0.0193906617385946,0.816621508438406,0.0330052073010633,0.7168904641322171,0.671724465620037,0.7602650273167499,0.6785475813923703,0.2160692113312753,63
