embedding_model,feature_type,algorithm,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,brier_mean,brier_std
prot_bert_bfd,per_sequence,random_forest,0.7434526354711151,0.03335141978868681,0.8292769965618516,0.04831998702833794,0.7618119103102068,0.027842553962543117,0.6581763388789086,0.03856954611884112,0.6670480876163236,0.044281300074438874,0.8912417847727452,0.03289243062446476,0.20510377248999384,0.011142205487352987
esm2_t12_35M_UR50D,per_sequence,random_forest,0.742605157605651,0.03311575124703392,0.8281081990926097,0.0392433015731064,0.7736119583369103,0.027608312257353156,0.6777056158712802,0.038883208980278354,0.6817777563672578,0.046773943424199785,0.8975074212130547,0.02978445067710297,0.20419648128474374,0.011024732806304558
esm2_t33_650M_UR50D,fusion,random_forest,0.7433011080094912,0.025555531861486347,0.8274022905022254,0.03875520853928565,0.7675646268318437,0.027814503437627643,0.6660856830430368,0.03910958048943618,0.6716097087496073,0.04579184445779427,0.8982844862494208,0.015173812057172761,0.20486324955053714,0.01076107973663445
esm2_t30_150M_UR50D,per_sequence,random_forest,0.7406874741846258,0.032565888106174626,0.8269969895165931,0.03645685473187279,0.7648186989275365,0.0319679699857239,0.6652781900075502,0.040580128294726056,0.6728105343750568,0.04315903170998212,0.8880208826369971,0.029631742825680055,0.20437605801739783,0.010626337444483259
prot_bert_bfd,fusion,random_forest,0.7389153251920991,0.03149250924301046,0.8258090490582575,0.04420961110759085,0.7666159952615057,0.02814250624293764,0.6659238720091645,0.0392304644305457,0.6726011750919489,0.04562640776760845,0.8942657442652127,0.02625894930928768,0.20587065901409157,0.010597933670588377
esm2_t6_8M_UR50D,fusion,random_forest,0.7376383957031768,0.02856408404679465,0.8229631426923231,0.03793223355748364,0.7713700396108292,0.027719394448950673,0.6744786378192611,0.041132312370870866,0.6803955732851665,0.04951146339418896,0.8944891028242301,0.02997062811684921,0.20558965817100905,0.010824470541171274
esm2_t30_150M_UR50D,fusion,random_forest,0.7373555595500039,0.028126459633842516,0.8222798035320548,0.03505694820906664,0.7634631328022226,0.03302299835186773,0.6638272279934391,0.0442775822722816,0.6730455198373112,0.04796712448788911,0.8843702555938904,0.021619025586688115,0.20499275860062985,0.011185051828907248
prot_bert,fusion,xgboost,0.7280068113196987,0.029512758218027502,0.8183582320809405,0.03847378446491444,0.7495411565756452,0.029421513135291733,0.6759276471660287,0.029209818424579318,0.7125616452822061,0.042625424933501466,0.7917246199709038,0.024162684943648673,0.22755096514820936,0.021835724452130056
prot_bert,per_sequence,xgboost,0.7260980866750406,0.03259026249858522,0.8178668602254267,0.03973092170598448,0.7426159753504871,0.03362512347934561,0.669471738394647,0.032658321858267364,0.7100206470922796,0.04052571337161196,0.77915526524644,0.03390408453678004,0.22869769349739616,0.02446665149304804
esm2_t36_3B_UR50D,fusion,logistic,0.7279528223148146,0.02349170823558247,0.8170865314505316,0.038344470145762984,0.715159448298726,0.02992655586525148,0.6715672108099664,0.02586769448566171,0.7640379631628823,0.04542984205612743,0.6732341221997418,0.03063194207680963,0.21982318019341793,0.009809251137049215
esm2_t36_3B_UR50D,per_sequence,logistic,0.7252338824358627,0.022923216976429562,0.8140194736576907,0.03852109054339755,0.7104638896402491,0.028668987970806636,0.6670479575099586,0.02286731005213318,0.7608613486555974,0.04265306573426389,0.6668473237198945,0.02353670877778836,0.2209987724250849,0.009060401379796173
prot_bert,fusion,random_forest,0.7233402322219408,0.03305708062847571,0.8136899063088263,0.04035777882096568,0.7592560915347148,0.029466089336405276,0.6567238147309225,0.036077213067363084,0.6669921799488138,0.04210342867132163,0.8832376497930732,0.025957976334824346,0.2095190181033014,0.010037485876871734
prot_bert,per_sequence,random_forest,0.7209371295598016,0.03172502338960323,0.8132956062722941,0.03797076335426095,0.7602154350995651,0.029319750683591876,0.6578533677002787,0.03553701353226605,0.6673716347868115,0.04120138277849723,0.8850598347080695,0.026753140156620475,0.20997543213677136,0.010262579244197273
esm2_t33_650M_UR50D,fusion,logistic,0.7204885152306548,0.02684915796197278,0.8090368072732265,0.03556069663454907,0.7103716554172463,0.03484277384021873,0.6664011039079383,0.02772612462911261,0.7576690746097873,0.032699791292261846,0.66905763966329,0.04049631373126096,0.21947243943468298,0.013586225053741538
esm2_t33_650M_UR50D,per_sequence,logistic,0.7171184676560379,0.027361337401585056,0.8042354792440373,0.037622569341285786,0.7030213988082473,0.03779949892720558,0.6594611939909918,0.029090844086331374,0.7530952491596827,0.032154690953451616,0.6596758308994775,0.04531947405474967,0.22092993769222985,0.013820273313097885
prot_bert,fusion,logistic,0.7049039870280629,0.018557801587395832,0.7966441530711698,0.029887894958411383,0.6938158808124952,0.03204939068974158,0.6539727667994482,0.020628657662353164,0.7568964932365655,0.02991863571489403,0.641484435415839,0.04395850850611816,0.22221881477748018,0.008899583227787847
